[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[ 108.2m] COMPARACIÓN DE MODELOS (covarianza DESI same-bin block-diagonal)
[ 108.2m] =================================================================
[ 108.2m] 
  Modelo           k   ln P_MAP      BIC    ΔBIC      AIC    ΔAIC    N_eff
[ 108.2m]   ---------------------------------------------------------------
[ 108.2m]   SSEE-V3.6        2      -5.85    17.24    0.00    15.70    0.00    78750
[ 108.2m]   ΛCDM             3      -7.30    22.92    5.68    20.60    4.91    64505
[ 108.2m]   CPL              5      -4.49    22.83    5.59    18.97    3.27    44627
[ 108.2m] 
=================================================================
[ 108.2m] PARÁMETROS POSTERIORES (mediana ± 1σ)
[ 108.2m] =================================================================
[ 108.2m] 
  [SSEE-V3.6]  τ_max=31.7  N_eff≈78750  accept=0.716
[ 108.2m]     H₀           = 67.62055  +0.39576/-0.39554
[ 108.2m]     Ω_b·h²       = 0.02196  +0.00045/-0.00045
[ 108.2m]     Ω_m,total    = 0.30889  [geometría; ω_m/h²]
[ 108.2m]     Ω_cdm,sector = 0.1601  [sector frío; Paper 6 + α_K]
[ 108.2m]     w₀,wₐ        = -0.8399, -0.6700  [algebraico]
[ 108.2m] 
  [ΛCDM]  τ_max=38.8  N_eff≈64505  accept=0.647
[ 108.2m]     H₀           = 68.26959  +0.27585/-0.27562
[ 108.2m]     Ω_m          = 0.30335  +0.00425/-0.00422
[ 108.2m]     Ω_b·h²       = 0.02233  +0.00015/-0.00015
[ 108.2m] 
  [CPL]  τ_max=56.0  N_eff≈44627  accept=0.551
[ 108.2m]     H₀           = 67.25637  +0.51443/-0.51409
[ 108.2m]     Ω_m          = 0.31666  +0.00692/-0.00693
[ 108.2m]     w₀           = -0.82552  +0.08065/-0.07842
[ 108.2m]     wₐ           = -0.55765  +0.30379/-0.32076
[ 108.2m]     Ω_b·h²       = 0.02237  +0.00015/-0.00015
[ 108.2m] 
  r_d(SSEE)=148.15 Mpc  r_d(ΛCDM)=147.78 Mpc  ratio=1.002
[ 108.2m]   H₀(SSEE)=67.62±0.40  Planck=67.36±0.54  tensión=0.39σ
[ 108.2m]   Ω_m tensión SSEE vs Planck: 0.88σ
[ 108.2m] 
  PPC — Cosmic Chronometers χ²_r:
[ 108.2m]     SSEE-V3.6     : 0.482
[ 108.2m]     ΛCDM          : 0.459
[ 108.2m]     CPL           : 0.471
[ 108.2m] 
Generando figuras...
[ 108.7m] 
Figuras guardadas en results/figures/
[ 108.7m] Cadenas guardadas en /mnt/datos/SSEE_data/mcmc/paper2_3models/mcmc_chains_professional.npz
[ 108.7m] Tiempo total: 1.81h
[ 108.7m] FIN MCMC PROFESIONAL
