[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[  70.1m]   CPL: 7500/25000 pasos  aceptación=0.551
[  70.7m]   CPL: 8000/25000 pasos  aceptación=0.551
[  71.2m]   CPL: 8500/25000 pasos  aceptación=0.551
[  71.8m]   CPL: 9000/25000 pasos  aceptación=0.551
[  72.3m]   CPL: 9500/25000 pasos  aceptación=0.551
[  72.9m]   CPL: 10000/25000 pasos  aceptación=0.552
[  73.4m]   CPL: 10500/25000 pasos  aceptación=0.552
[  74.0m]   CPL: 11000/25000 pasos  aceptación=0.552
[  74.6m]   CPL: 11500/25000 pasos  aceptación=0.551
[  75.1m]   CPL: 12000/25000 pasos  aceptación=0.552
[  75.7m]   CPL: 12500/25000 pasos  aceptación=0.552
[  76.3m]   CPL: 13000/25000 pasos  aceptación=0.551
[  76.9m]   CPL: 13500/25000 pasos  aceptación=0.551
[  77.5m]   CPL: 14000/25000 pasos  aceptación=0.551
[  78.0m]   CPL: 14500/25000 pasos  aceptación=0.551
[  78.6m]   CPL: 15000/25000 pasos  aceptación=0.551
[  79.2m]   CPL: 15500/25000 pasos  aceptación=0.551
[  79.8m]   CPL: 16000/25000 pasos  aceptación=0.551
[  80.4m]   CPL: 16500/25000 pasos  aceptación=0.551
[  81.0m]   CPL: 17000/25000 pasos  aceptación=0.551
[  81.6m]   CPL: 17500/25000 pasos  aceptación=0.551
[  82.2m]   CPL: 18000/25000 pasos  aceptación=0.551
[  82.8m]   CPL: 18500/25000 pasos  aceptación=0.551
[  83.4m]   CPL: 19000/25000 pasos  aceptación=0.551
[  84.0m]   CPL: 19500/25000 pasos  aceptación=0.551
[  84.6m]   CPL: 20000/25000 pasos  aceptación=0.551
[  85.2m]   CPL: 20500/25000 pasos  aceptación=0.551
[  85.8m]   CPL: 21000/25000 pasos  aceptación=0.551
[  86.4m]   CPL: 21500/25000 pasos  aceptación=0.551
[  87.1m]   CPL: 22000/25000 pasos  aceptación=0.551
[  87.7m]   CPL: 22500/25000 pasos  aceptación=0.551
[  88.3m]   CPL: 23000/25000 pasos  aceptación=0.551
[  88.9m]   CPL: 23500/25000 pasos  aceptación=0.551
[  89.6m]   CPL: 24000/25000 pasos  aceptación=0.551
[  90.2m]   CPL: 24500/25000 pasos  aceptación=0.551
[  90.8m]   CPL: 25000/25000 pasos  aceptación=0.551
[  91.0m]   τ_max=57.7  N_eff≈43362  ln P_MAP=-11.74
[  91.0m] 
=================================================================
[  91.0m] COMPARACIÓN DE MODELOS (covarianza DESI same-bin block-diagonal)
[  91.0m] =================================================================
[  91.0m] 
  Modelo           k   ln P_MAP      BIC    ΔBIC      AIC    ΔAIC    N_eff
[  91.0m]   ---------------------------------------------------------------
[  91.0m]   SSEE-V3.6        2     -13.22    31.98    0.00    30.44    0.00    79700
[  91.0m]   ΛCDM             3     -15.79    39.89    7.91    37.57    7.14    62886
[  91.0m]   CPL              5     -11.74    37.35    5.36    33.48    3.05    43362
[  91.0m] 
=================================================================
[  91.0m] PARÁMETROS POSTERIORES (mediana ± 1σ)
[  91.0m] =================================================================
[  91.0m] 
  [SSEE-V3.6]  τ_max=31.4  N_eff≈79700  accept=0.715
[  91.0m]     H₀           = 67.75503  +0.44113/-0.43991
[  91.0m]     Ω_b·h²       = 0.02184  +0.00048/-0.00048
[  91.0m]     Ω_m,eff      = 0.1601  [algebraico]
[  91.0m]     w₀,wₐ        = -0.8399, -0.6700  [algebraico]
[  91.0m] 
  [ΛCDM]  τ_max=39.8  N_eff≈62886  accept=0.647
[  91.0m]     H₀           = 68.28509  +0.37811/-0.37893
[  91.0m]     Ω_m          = 0.30323  +0.00544/-0.00545
[  91.0m]     Ω_b·h²       = 0.02233  +0.00015/-0.00015
[  91.0m] 
  [CPL]  τ_max=57.7  N_eff≈43362  accept=0.551
[  91.0m]     H₀           = 67.30687  +0.52645/-0.52357
[  91.0m]     Ω_m          = 0.31609  +0.00704/-0.00703
[  91.0m]     w₀           = -0.73073  +0.10643/-0.10286
