# Matter power spectrum P(k) at redshift z=0
# for k=1.03921e-05 to 10.2236 h/Mpc,
# number of wavenumbers equal to 321
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.836670099580e-01       2.215606244472e+03 
       1.898090318608e-01       2.131687148888e+03 
       1.961564478261e-01       2.030833701242e+03 
       2.027161282616e-01       1.909506109537e+03 
       2.094951762894e-01       1.775173901007e+03 
       2.165009513925e-01       1.641950348317e+03 
       2.237410964732e-01       1.523517268459e+03 
       2.312235687072e-01       1.427752417915e+03 
       2.389566746219e-01       1.353945973298e+03 
       2.469491098817e-01       1.292933342687e+03 
       2.552100043325e-01       1.231980077802e+03 
       2.637489729470e-01       1.162352522702e+03 
       2.725761734138e-01       1.083958668478e+03 
       2.817023712464e-01       1.004721881739e+03 
       2.911390134485e-01       9.346344213028e+02 
       3.008983119630e-01       8.777312687545e+02 
       3.109933383679e-01       8.301092910748e+02 
       3.214381315620e-01       7.841765666202e+02 
       3.322478205188e-01       7.347482329849e+02 
       3.434387645800e-01       6.834413321995e+02 
       3.550287142273e-01       6.356374901263e+02 
       3.670369958018e-01       5.946542223785e+02 
       3.794847242525e-01       5.585274409144e+02 
       3.923950486693e-01       5.231383744779e+02 
       4.057934360749e-01       4.872834286278e+02 
       4.197079996756e-01       4.530735073330e+02 
       4.341698784090e-01       4.223124230197e+02 
       4.492136750502e-01       3.943075161986e+02 
       4.648779600837e-01       3.672090326506e+02 
       4.812058476523e-01       3.408664207916e+02 
       4.982456475228e-01       3.164843942340e+02 
       5.160515922558e-01       2.940431615518e+02 
       5.346846302801e-01       2.725771017597e+02 
       5.542132615041e-01       2.521751492222e+02 
       5.747143700991e-01       2.332007541771e+02 
       5.962739766270e-01       2.153500996716e+02 
       6.189877869010e-01       1.984290653378e+02 
       6.429613587716e-01       1.825925727288e+02 
       6.683096477485e-01       1.677095760068e+02 
       6.951556474094e-01       1.537078832905e+02 
       7.236278480040e-01       1.406082212216e+02 
       7.538563514262e-01       1.283354810266e+02 
       7.859677585639e-01       1.168808123806e+02 
       8.200793969913e-01       1.062165702749e+02 
       8.562939817163e-01       9.632676718576e+01 
       8.946961483077e-01       8.718620458973e+01 
       9.353521496663e-01       7.877914717332e+01 
       9.783132194426e-01       7.107476766939e+01 
       1.023621930403e+00       6.404119674348e+01 
       1.071319904375e+00       5.764187076611e+01 
       1.121454977288e+00       5.183616560422e+01 
       1.174086438275e+00       4.658168316837e+01 
       1.229287849149e+00       4.183497005340e+01 
       1.287147726976e+00       3.755173011779e+01 
       1.347768780942e+00       3.369041878304e+01 
       1.411266445717e+00       3.021367166606e+01 
       1.477767291943e+00       2.708442689549e+01 
       1.547407667261e+00       2.426980397219e+01 
       1.620332720031e+00       2.173947810858e+01 
       1.696695819346e+00       1.946583755681e+01 
       1.776658310783e+00       1.742363277459e+01 
       1.860389522396e+00       1.559009578983e+01 
       1.948066940706e+00       1.394495724692e+01 
       2.039876495001e+00       1.246901555936e+01 
       2.136012908883e+00       1.114561543287e+01 
       2.236680094946e+00       9.959430349594e+00 
       2.342091580038e+00       8.896723452496e+00 
       2.452470955554e+00       7.944936552380e+00 
       2.568052350814e+00       7.092746500582e+00 
       2.689080929425e+00       6.330066942356e+00 
       2.815813409220e+00       5.647781076029e+00 
       2.948518606778e+00       5.037562850066e+00 
       3.087478007617e+00       4.492008896331e+00 
       3.232986363255e+00       4.004444254557e+00 
       3.385352316423e+00       3.568782769608e+00 
       3.544899055737e+00       3.179687631265e+00 
       3.711965001221e+00       2.832269011779e+00 
       3.886904522144e+00       2.522165310059e+00 
       4.070088688686e+00       2.245446286786e+00 
       4.261906059022e+00       1.998589446139e+00 
       4.462763503513e+00       1.778418607335e+00 
       4.673087067728e+00       1.582144505330e+00 
       4.893322876145e+00       1.407216848242e+00 
       5.123938078442e+00       1.251326034699e+00 
       5.365421840382e+00       1.112453328661e+00 
       5.618286381400e+00       9.887713762340e-01 
       5.883068061089e+00       8.786487552300e-01 
       6.160328516893e+00       7.806274514537e-01 
       6.450655855411e+00       6.933915655780e-01 
       6.754665899852e+00       6.157721600024e-01 
       7.073003496281e+00       5.467332035928e-01 
       7.406343881420e+00       4.853339412576e-01 
       7.755394114917e+00       4.307468396496e-01 
       8.120894579115e+00       3.822277109752e-01 
       8.503620549503e+00       3.391072623997e-01 
       8.904383839177e+00       3.007954305496e-01 
       9.324034520806e+00       2.667635794787e-01 
       9.763462729748e+00       2.365347843231e-01 
       1.022360055215e+01       2.096966889200e-01 
