# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 10.3191 h/Mpc,
# number of wavenumbers equal to 321
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.247940946313e-01       1.938434680492e+02 
       6.489908284960e-01       1.783774785623e+02 
       6.745748935494e-01       1.638406185010e+02 
       7.016704272747e-01       1.501656719374e+02 
       7.304071295885e-01       1.373706718276e+02 
       7.609163463767e-01       1.253826083025e+02 
       7.933259123844e-01       1.141940137798e+02 
       8.277543246843e-01       1.037764928559e+02 
       8.643053478203e-01       9.411588087463e+01 
       9.030645030594e-01       8.518633441639e+01 
       9.440987472938e-01       7.697344715963e+01 
       9.874598538119e-01       6.944648528726e+01 
       1.033190821763e+00       6.257471758396e+01 
       1.081333658063e+00       5.632226284365e+01 
       1.131936616459e+00       5.064974363091e+01 
       1.185059496298e+00       4.551592625425e+01 
       1.240776498806e+00       4.087817662034e+01 
       1.299176923790e+00       3.669289598407e+01 
       1.360364403650e+00       3.291991388161e+01 
       1.424455424330e+00       2.952270053801e+01 
       1.491577720269e+00       2.646510701810e+01 
       1.561868901070e+00       2.371495343166e+01 
       1.635475464209e+00       2.124238423515e+01 
       1.712552207967e+00       1.902082981653e+01 
       1.793261983620e+00       1.702528225693e+01 
       1.877775700623e+00       1.523354250339e+01 
       1.966272503719e+00       1.362596538922e+01 
       2.058940059588e+00       1.218377659181e+01 
       2.155974911538e+00       1.089060104340e+01 
       2.257582877787e+00       9.731558728802e+00 
       2.363979480681e+00       8.693099986793e+00 
       2.475390401173e+00       7.763050335732e+00 
       2.592051956628e+00       6.930321198332e+00 
       2.714211601814e+00       6.185074976383e+00 
       2.842128453710e+00       5.518371473667e+00 
       2.976073841108e+00       4.922103669703e+00 
       3.116331880131e+00       4.389004808297e+00 
       3.263200076887e+00       3.912580941814e+00 
       3.416989958510e+00       3.486890601683e+00 
       3.578027733959e+00       3.106703862472e+00 
       3.746654985946e+00       2.767233352737e+00 
       3.923229395481e+00       2.464223745233e+00 
       4.108125500561e+00       2.193842054880e+00 
       4.301735490613e+00       1.952626575848e+00 
       4.504470038385e+00       1.737508876236e+00 
       4.716759171033e+00       1.545729155616e+00 
       4.939053182269e+00       1.374813492472e+00 
       5.171823587496e+00       1.222498063081e+00 
       5.415564123950e+00       1.086811735807e+00 
       5.670791797988e+00       9.659681710367e-01 
       5.938047981727e+00       8.583734581955e-01 
       6.217899561362e+00       7.626022009615e-01 
       6.510940139615e+00       6.773721642213e-01 
       6.817791294842e+00       6.015386445252e-01 
       7.139103899482e+00       5.340875979268e-01 
       7.475559500649e+00       4.741026676756e-01 
       7.827871765782e+00       4.207727850039e-01 
       8.196787996432e+00       3.733693301953e-01 
       8.583090713385e+00       3.312443487984e-01 
       8.987599316496e+00       2.938159404570e-01 
       9.411171822746e+00       2.605689716686e-01 
       9.854706686209e+00       2.310403095944e-01 
       1.031914470380e+01       2.048211327344e-01 
