# Matter power spectrum P(k) at redshift z=0
# for k=1.04182e-05 to 5.31614 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.957083874548e-02       2.474111370339e+04 
       1.970181679979e-02       2.470958120472e+04 
       1.983285993549e-02       2.467548203354e+04 
       1.996396934690e-02       2.464153581274e+04 
       2.009514625867e-02       2.460526247697e+04 
       2.022639192637e-02       2.456909989963e+04 
       2.035770763712e-02       2.453143898374e+04 
       2.048909471019e-02       2.449265777449e+04 
       2.062055449771e-02       2.445274407341e+04 
       2.075208838532e-02       2.441119861119e+04 
       2.088369779291e-02       2.437015592510e+04 
       2.101538417528e-02       2.432742090707e+04 
       2.114714902299e-02       2.428283817943e+04 
       2.127899386303e-02       2.423824579264e+04 
       2.141092025971e-02       2.419361873040e+04 
       2.154292981542e-02       2.414636784354e+04 
       2.167502417152e-02       2.409918524521e+04 
       2.180720500922e-02       2.405118546779e+04 
       2.193947405045e-02       2.400222629911e+04 
       2.207183305883e-02       2.395239710711e+04 
       2.220428384063e-02       2.390170156838e+04 
       2.233682824574e-02       2.385045602029e+04 
       2.246946816872e-02       2.379830370472e+04 
       2.260220554985e-02       2.374530307286e+04 
       2.273504237621e-02       2.369170699077e+04 
       2.286798068281e-02       2.363750677637e+04 
       2.300102255378e-02       2.358234818989e+04 
       2.313417012352e-02       2.352644358926e+04 
       2.326742557793e-02       2.347070731535e+04 
       2.340079115575e-02       2.341279131429e+04 
       2.353426914979e-02       2.335513480541e+04 
       2.366786190833e-02       2.329664076067e+04 
       2.380157183654e-02       2.323753235536e+04 
       2.393540139783e-02       2.317779748679e+04 
       2.406935311546e-02       2.311780409890e+04 
       2.420342957398e-02       2.305692452757e+04 
       2.433763342084e-02       2.299604201654e+04 
       2.447196736806e-02       2.293393235795e+04 
       2.460643419389e-02       2.287068986069e+04 
       2.474103674454e-02       2.280772581870e+04 
       2.487577793601e-02       2.274417162519e+04 
       2.501066075595e-02       2.268051938844e+04 
       2.514568826555e-02       2.261553585131e+04 
       2.528086360158e-02       2.255032471086e+04 
       2.541618997839e-02       2.248482495499e+04 
       2.555167069005e-02       2.241896102657e+04 
       2.568730911256e-02       2.235265899637e+04 
       2.582310870609e-02       2.228578438135e+04 
       2.595907301736e-02       2.221840856673e+04 
       2.609520568202e-02       2.215101852175e+04 
       2.623151042720e-02       2.208260717525e+04 
       2.636799107409e-02       2.201423001413e+04 
       2.650465154063e-02       2.194533643385e+04 
       2.664149584429e-02       2.187612757798e+04 
       2.677852810494e-02       2.180660121243e+04 
